ω,z,E,p,grid_points,grid_size,L,t_failed,worked?
0.99,0.01,100,0.015,50,3,2,0.474,False
0.99,0.01,100,0.056,50,3,2,0.474,False
0.99,0.01,100,0.01,50,3,2,0.474,False
0.99,0.01,100,0.208,50,3,2,0.474,False
0.99,0.01,100,0.208,50,3,2,0.474,False
0.99,0.01,100,0.036,50,3,2,0.474,False
0.99,0.01,100,0.134,50,3,2,0.474,False
0.76,0.015,50,0.152,50,3,2,0.4589999999999999,False
1.77,0.037,50,0.018,40,3,2,0.452,False
1.77,0.037,50,0.887,40,3,2,0.452,False
2.5,0.5,10,0.5,30,3,2,0.435,False
1.52,0.015,100,0.76,40,3,2,0.429,False
0.35,0.037,10,0.071,50,3,2,0.414,False
0.49,0.01,50,0.099,50,3,2,0.406,False
0.8,0.088,10,0.401,40,3,2,0.405,False
1.16,0.024,50,0.012,40,3,2,0.405,False
