p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.036,0.037,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:10.306584
0.036,0.036,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:54.451719
0.036,0.037,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:31:37.719593
0.036,0.037,0.01,2.0,100,0.99,50,2,(0.334-1.23j),(0.005-0.008j),(0.004-0.006j),(4.803-13.61j),(4.8-13.606j),(4.8-13.606j),(4.594-11.377j),0.02,1.0,1.0,0.175,0.152,0 days 01:24:18.723710
0.056,0.057,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:53.877039
0.056,0.057,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:05.852465
0.056,0.057,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:09:02.304390
0.056,0.057,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:31:46.134555
0.056,0.057,0.01,2.0,100,0.99,50,2,(0.341-1.24j),(0.013-0.018j),(0.01-0.015j),(4.805-13.62j),(4.801-13.616j),(4.801-13.616j),(4.595-11.388j),0.04,1.0,1.0,0.176,0.152,0 days 01:24:11.050843
0.087,0.088,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:00.501920
0.087,0.088,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:02.504118
0.087,0.088,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:09:09.704908
0.087,0.088,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:32:33.621945
0.087,0.088,0.01,2.0,100,0.99,50,2,(0.358-1.266j),(0.031-0.043j),(0.025-0.036j),(4.807-13.643j),(4.804-13.64j),(4.804-13.64j),(4.598-11.414j),0.09,1.0,1.0,0.177,0.152,0 days 01:24:52.828851
0.134,0.135,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:55.295908
0.134,0.136,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:00.121273
0.134,0.136,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:09:10.570275
0.134,0.136,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:32:29.003894
0.134,0.136,0.01,2.0,100,0.99,50,2,(0.399-1.326j),(0.074-0.102j),(0.059-0.085j),(4.813-13.699j),(4.81-13.696j),(4.81-13.696j),(4.605-11.474j),0.18,1.0,1.0,0.18,0.151,0 days 01:25:06.921974
0.198,0.2,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:11.662697
