p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.76,0.5,0.015,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:55.431628
0.76,0.5,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:26.692685
0.015205987819016447,0.01,0.015444521049463785,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:43.475272
0.02348491989486896,0.015,0.015444521049463785,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:46.810618
0.036271333966127466,0.024,0.015444521049463785,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:45.488931
0.017,0.01,0.21,2.0,10,1.66,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:03.174496
0.331,0.19899999999999998,0.21,2.0,10,1.66,50,3,0j,(0.711-1.011j),(0.58-0.849j),0j,(-922.693+1046.092j),,,-inf,inf,,0.169,,0 days 00:12:59.883865
0.331,0.19899999999999998,0.21,2.0,10,1.66,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:09.949155
0.828,0.499,0.21,2.0,10,1.66,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:03.342177
0.018000000000000002,0.01,0.037000000000000005,2.0,50,1.77,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:47.808920
0.355,0.201,0.037000000000000005,2.0,50,1.77,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:49.162593
0.887,0.501,0.037000000000000005,2.0,50,1.77,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:48.249761
0.4,0.19,0.3,0.5,10,2.1,30,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:16.351080000
0.4,0.19,0.3,0.5,10,2.1,40,3,(0.503-0.104j),(0.503-0.104j),(0.492-0.09j),(1.295-0.266j),(1.294-0.268j),,,1.0,1.01,,0.035,,0 days 00:01:54.065417
0.4,0.19,0.3,0.5,10,2.1,50,3,(0.503-0.098j),(0.502-0.099j),(0.492-0.09j),(1.302-0.249j),(1.301-0.25j),,,1.0,1.01,,0.026,,0 days 00:06:11.811591
0.4,0.19,0.3,0.5,10,2.1,60,3,(0.5-0.096j),(0.5-0.096j),(0.492-0.09j),(1.291-0.239j),(1.29-0.241j),,,1.0,1.01,,0.019,,0 days 00:20:28.390630
0.4,0.19,0.3,0.5,10,2.1,70,3,(0.499-0.094j),(0.499-0.094j),(0.492-0.09j),(1.289-0.23j),(1.288-0.232j),,,1.0,1.01,,0.015,,0 days 00:48:59.642569
0.4,0.19,0.3,0.5,10,2.1,80,3,(0.499-0.093j),(0.498-0.093j),(0.492-0.09j),(1.288-0.227j),(1.286-0.228j),,,1.0,1.01,,0.013,,0 days 01:56:40.701683
0.022,0.01,0.324,2.0,10,2.19,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:36.519853
0.43799999999999994,0.2,0.324,2.0,10,2.19,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:11.272112
0.438,0.2,0.324,2.0,10,2.19,50,3,(2.114-3.039j),(1.626-2.257j),(1.355-1.911j),(14.096-19.273j),(13.669-18.948j),,,0.74,0.98,,0.158,,0 days 00:25:53.999224
1.095,0.5,0.324,2.0,10,2.19,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:32.189927
0.023,0.01,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:04:00.508564
0.023,0.01,0.024,2.0,100,2.33,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:49.972770
0.023,0.01,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:47.971543
0.036000000000000004,0.015,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:56.785030
0.036000000000000004,0.015,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:56.229362
0.056,0.024,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:51.781653
0.086,0.037000000000000005,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:51.725392
0.132,0.057,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:52.055895
0.205,0.08800000000000001,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:48.885302
0.316,0.136,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:56.553817
0.466,0.2,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:51.420241
0.488,0.21,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:53.010691
0.754,0.324,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:52.157712
1.1640000000000001,0.5,0.024,2.0,100,2.33,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:48.406737
